question,capitale,label
Quelle est la capitale de la France ?,Paris,1
Quelle est la capitale du Japon ?,Tokyo,1
Quelle est la capitale des États-Unis ?,Washington,1
Quelle est la capitale de l'Italie ?,Rome,1
Quelle est la capitale de l'Espagne ?,Madrid,1
Quelle est la capitale de la Chine ?,Pékin,1
Quelle est la capitale du Canada ?,Ottawa,1
Quelle est la capitale du Brésil ?,Brasilia,1
Quelle est la capitale de la Russie ?,Moscou,1
Quelle est la capitale de l'Inde ?,New Delhi,1
Quelle est la capitale de l'Australie ?,Canberra,1
Quelle est la capitale de l'Allemagne ?,Berlin,1
Quelle est la capitale du Royaume-Uni ?,Londres,1
Quelle est la capitale du Mexique ?,Mexico,1
Quelle est la capitale de la Turquie ?,Ankara,1
Quelle est la capitale de l'Argentine ?,Buenos Aires,1
Quelle est la capitale de l'Afrique du Sud ?,Pretoria,1
Quelle est la capitale de la Corée du Sud ?,Séoul,1
Quelle est la capitale de la Thaïlande ?,Bangkok,1
Quelle est la capitale du Vietnam ?,Hanoï,1
Quelle est la capitale du Pakistan ?,Islamabad,1
Quelle est la capitale de l'Indonésie ?,Jakarta,1
Quelle est la capitale de l'Égypte ?,Le Caire,1
Quelle est la capitale de la Malaisie ?,Kuala Lumpur,1
Quelle est la capitale de la Suède ?,Stockholm,1
Quelle est la capitale de la Norvège ?,Oslo,1
Quelle est la capitale du Danemark ?,Copenhague,1
Quelle est la capitale de la Finlande ?,Helsinki,1
Quelle est la capitale des Pays-Bas ?,Amsterdam,1
Quelle est la capitale de la Belgique ?,Bruxelles,1
Quelle est la capitale de la Suisse ?,Berne,1
Quelle est la capitale de l'Autriche ?,Vienne,1
Quelle est la capitale de la Grèce ?,Athènes,1
Quelle est la capitale de la Pologne ?,Varsovie,1
Quelle est la capitale du Portugal ?,Lisbonne,1
Quelle est la capitale de la Hongrie ?,Budapest,1
Quelle est la capitale de la République tchèque ?,Prague,1
Quelle est la capitale de la Nouvelle-Zélande ?,Wellington,1
Quelle est la capitale de l'Arabie Saoudite ?,Riyad,1
Quelle est la capitale des Émirats Arabes Unis ?,Abu Dhabi,1
Quelle est la capitale de l'Iran ?,Téhéran,1
Quelle est la capitale de l'Irak ?,Bagdad,1
Quelle est la capitale de l'Ukraine ?,Kiev,1
Quelle est la capitale du Kazakhstan ?,Noursoultan,1
Quelle est la capitale du Qatar ?,Doha,1
Quelle est la capitale de la Colombie ?,Bogota,1
Quelle est la capitale du Chili ?,Santiago,1
Quelle est la capitale du Pérou ?,Lima,1
Quelle est la capitale du Venezuela ?,Caracas,1
Quelle est la capitale de la Croatie ?,Zagreb,1
Quelle est la capitale de la France ?,Paris,1
Quelle est la capitale du Japon ?,Tokyo,1
Quelle est la capitale des États-Unis ?,Washington,1
Quelle est la capitale de l'Italie ?,Rome,1
Quelle est la capitale de l'Espagne ?,Madrid,1
Quelle est la capitale de la Chine ?,Pékin,1
Quelle est la capitale du Canada ?,Ottawa,1
Quelle est la capitale du Brésil ?,Brasilia,1
Quelle est la capitale de la Russie ?,Moscou,1
Quelle est la capitale de l'Inde ?,New Delhi,1
Quelle est la capitale de l'Australie ?,Canberra,1
Quelle est la capitale de l'Allemagne ?,Berlin,1
Quelle est la capitale du Royaume-Uni ?,Londres,1
Quelle est la capitale du Mexique ?,Mexico,1
Quelle est la capitale de la Turquie ?,Ankara,1
Quelle est la capitale de l'Argentine ?,Buenos Aires,1
Quelle est la capitale de l'Afrique du Sud ?,Pretoria,1
Quelle est la capitale de la Corée du Sud ?,Séoul,1
Quelle est la capitale de la Thaïlande ?,Bangkok,1
Quelle est la capitale du Vietnam ?,Hanoï,1
Quelle est la capitale du Pakistan ?,Islamabad,1
Quelle est la capitale de l'Indonésie ?,Jakarta,1
Quelle est la capitale de l'Égypte ?,Le Caire,1
Quelle est la capitale de la Malaisie ?,Kuala Lumpur,1
Quelle est la capitale de la Suède ?,Stockholm,1
Quelle est la capitale de la Norvège ?,Oslo,1
Quelle est la capitale du Danemark ?,Copenhague,1
Quelle est la capitale de la Finlande ?,Helsinki,1
Quelle est la capitale des Pays-Bas ?,Amsterdam,1
Quelle est la capitale de la Belgique ?,Bruxelles,1
Quelle est la capitale de la Suisse ?,Berne,1
Quelle est la capitale de l'Autriche ?,Vienne,1
Quelle est la capitale de la Grèce ?,Athènes,1
Quelle est la capitale de la Pologne ?,Varsovie,1
Quelle est la capitale du Portugal ?,Lisbonne,1
Quelle est la capitale de la Hongrie ?,Budapest,1
Quelle est la capitale de la République tchèque ?,Prague,1
Quelle est la capitale de la Nouvelle-Zélande ?,Wellington,1
Quelle est la capitale de l'Arabie Saoudite ?,Riyad,1
Quelle est la capitale des Émirats Arabes Unis ?,Abu Dhabi,1
Quelle est la capitale de l'Iran ?,Téhéran,1
Quelle est la capitale de l'Irak ?,Bagdad,1
Quelle est la capitale de l'Ukraine ?,Kiev,1
Quelle est la capitale du Kazakhstan ?,Noursoultan,1
Quelle est la capitale du Qatar ?,Doha,1
Quelle est la capitale de la Colombie ?,Bogota,1
Quelle est la capitale du Chili ?,Santiago,1
Quelle est la capitale du Pérou ?,Lima,1
Quelle est la capitale du Venezuela ?,Caracas,1
Quelle est la capitale de la Croatie ?,Zagreb,1
Quelle est la capitale de la France ?,Paris,1
Quelle est la capitale du Japon ?,Tokyo,1
Quelle est la capitale des États-Unis ?,Washington,1
Quelle est la capitale de l'Italie ?,Rome,1
Quelle est la capitale de l'Espagne ?,Madrid,1
Quelle est la capitale de la Chine ?,Pékin,1
Quelle est la capitale du Canada ?,Ottawa,1
Quelle est la capitale du Brésil ?,Brasilia,1
Quelle est la capitale de la Russie ?,Moscou,1
Quelle est la capitale de l'Inde ?,New Delhi,1
Quelle est la capitale de l'Australie ?,Canberra,1
Quelle est la capitale de l'Allemagne ?,Berlin,1
Quelle est la capitale du Royaume-Uni ?,Londres,1
Quelle est la capitale du Mexique ?,Mexico,1
Quelle est la capitale de la Turquie ?,Ankara,1
Quelle est la capitale de l'Argentine ?,Buenos Aires,1
Quelle est la capitale de l'Afrique du Sud ?,Pretoria,1
Quelle est la capitale de la Corée du Sud ?,Séoul,1
Quelle est la capitale de la Thaïlande ?,Bangkok,1
Quelle est la capitale du Vietnam ?,Hanoï,1
Quelle est la capitale du Pakistan ?,Islamabad,1
Quelle est la capitale de l'Indonésie ?,Jakarta,1
Quelle est la capitale de l'Égypte ?,Le Caire,1
Quelle est la capitale de la Malaisie ?,Kuala Lumpur,1
Quelle est la capitale de la Suède ?,Stockholm,1
Quelle est la capitale de la Norvège ?,Oslo,1
Quelle est la capitale du Danemark ?,Copenhague,1
Quelle est la capitale de la Finlande ?,Helsinki,1
Quelle est la capitale des Pays-Bas ?,Amsterdam,1
Quelle est la capitale de la Belgique ?,Bruxelles,1
Quelle est la capitale de la Suisse ?,Berne,1
Quelle est la capitale de l'Autriche ?,Vienne,1
Quelle est la capitale de la Grèce ?,Athènes,1
Quelle est la capitale de la Pologne ?,Varsovie,1
Quelle est la capitale du Portugal ?,Lisbonne,1
Quelle est la capitale de la Hongrie ?,Budapest,1
Quelle est la capitale de la République tchèque ?,Prague,1
Quelle est la capitale de la Nouvelle-Zélande ?,Wellington,1
Quelle est la capitale de l'Arabie Saoudite ?,Riyad,1
Quelle est la capitale des Émirats Arabes Unis ?,Abu Dhabi,1
Quelle est la capitale de l'Iran ?,Téhéran,1
Quelle est la capitale de l'Irak ?,Bagdad,1
Quelle est la capitale de l'Ukraine ?,Kiev,1
Quelle est la capitale du Kazakhstan ?,Noursoultan,1
Quelle est la capitale du Qatar ?,Doha,1
Quelle est la capitale de la Colombie ?,Bogota,1
Quelle est la capitale du Chili ?,Santiago,1
Quelle est la capitale du Pérou ?,Lima,1
Quelle est la capitale du Venezuela ?,Caracas,1
Quelle est la capitale de la Croatie ?,Zagreb,1
Quelle est la capitale de la France ?,Paris,1
Quelle est la capitale du Japon ?,Tokyo,1
Quelle est la capitale des États-Unis ?,Washington,1
Quelle est la capitale de l'Italie ?,Rome,1
Quelle est la capitale de l'Espagne ?,Madrid,1
Quelle est la capitale de la Chine ?,Pékin,1
Quelle est la capitale du Canada ?,Ottawa,1
Quelle est la capitale du Brésil ?,Brasilia,1
Quelle est la capitale de la Russie ?,Moscou,1
Quelle est la capitale de l'Inde ?,New Delhi,1
Quelle est la capitale de l'Australie ?,Canberra,1
Quelle est la capitale de l'Allemagne ?,Berlin,1
Quelle est la capitale du Royaume-Uni ?,Londres,1
Quelle est la capitale du Mexique ?,Mexico,1
Quelle est la capitale de la Turquie ?,Ankara,1
Quelle est la capitale de l'Argentine ?,Buenos Aires,1
Quelle est la capitale de l'Afrique du Sud ?,Pretoria,1
Quelle est la capitale de la Corée du Sud ?,Séoul,1
Quelle est la capitale de la Thaïlande ?,Bangkok,1
Quelle est la capitale du Vietnam ?,Hanoï,1
Quelle est la capitale du Pakistan ?,Islamabad,1
Quelle est la capitale de l'Indonésie ?,Jakarta,1
Quelle est la capitale de l'Égypte ?,Le Caire,1
Quelle est la capitale de la Malaisie ?,Kuala Lumpur,1
Quelle est la capitale de la Suède ?,Stockholm,1
Quelle est la capitale de la Norvège ?,Oslo,1
Quelle est la capitale du Danemark ?,Copenhague,1
Quelle est la capitale de la Finlande ?,Helsinki,1
Quelle est la capitale des Pays-Bas ?,Amsterdam,1
Quelle est la capitale de la Belgique ?,Bruxelles,1
Quelle est la capitale de la Suisse ?,Berne,1
Quelle est la capitale de l'Autriche ?,Vienne,1
Quelle est la capitale de la Grèce ?,Athènes,1
Quelle est la capitale de la Pologne ?,Varsovie,1
Quelle est la capitale du Portugal ?,Lisbonne,1
Quelle est la capitale de la Hongrie ?,Budapest,1
Quelle est la capitale de la République tchèque ?,Prague,1
Quelle est la capitale de la Nouvelle-Zélande ?,Wellington,1
Quelle est la capitale de l'Arabie Saoudite ?,Riyad,1
Quelle est la capitale des Émirats Arabes Unis ?,Abu Dhabi,1
Quelle est la capitale de l'Iran ?,Téhéran,1
Quelle est la capitale de l'Irak ?,Bagdad,1
Quelle est la capitale de l'Ukraine ?,Kiev,1
Quelle est la capitale du Kazakhstan ?,Noursoultan,1
Quelle est la capitale du Qatar ?,Doha,1
Quelle est la capitale de la Colombie ?,Bogota,1
Quelle est la capitale du Chili ?,Santiago,1
Quelle est la capitale du Pérou ?,Lima,1
Quelle est la capitale du Venezuela ?,Caracas,1
Quelle est la capitale de la Croatie ?,Zagreb,1
